,capacity_ratio,antisolv_ratio,add_antisolv_mole,capacity_mole,precip_mole
26,0.37597930207314245,0.35135135135135137,0.2684268729294115,0.28724223758784767,-0.05122641438694184
27,0.3801885837525419,0.36986301369863017,0.2825694900489801,0.2904580621865992,-0.054442238985693364
28,0.38456515777581507,0.3888888888888889,0.29710495764409217,0.29380169548896984,-0.057785872288064005
29,0.3891157573201321,0.4084507042253522,0.312049875030616,0.29727828153577723,-0.0612624583348714
30,0.3938474547192823,0.42857142857142866,0.3274217900567547,0.30089322347812936,-0.06487740027722352
31,0.3987676860278079,0.4492753623188407,0.34323926783727426,0.30465220234403445,-0.06863637914312862
32,0.4038846357499378,0.4705882352941178,0.35952196555251503,0.30856147096521824,-0.07254564776431241
33,0.4092057635098264,0.49253731343283597,0.3762907139458226,0.3126267283764995,-0.07661090517559369
34,0.4147402106852315,0.5151515151515152,0.39356760622983644,0.31685495844583944,-0.08083913524493361
35,0.4204971590202274,0.5384615384615387,0.4113760951995124,0.3212531758804262,-0.08523735267952035
36,0.4264863160288924,0.5625,0.42974109944949046,0.3258287970674117,-0.08981297386650586
37,0.43271795698283655,0.5873015873015873,0.4486891197074045,0.3305896721517182,-0.09457384895081236
38,0.43920297109261214,0.6129032258064515,0.4682483664252512,0.33554412031790565,-0.09952829711699981
39,0.4459529123546986,0.639344262295082,0.48844889992073237,0.340700968636463,-0.10468514543555715
40,0.4529800555993474,0.6666666666666666,0.5093227845327294,0.34606959488347533,-0.1100537716825695
41,0.4602974583477666,0.6949152542372882,0.5309042584536078,0.3516599747985338,-0.11564415159762795
42,0.4679186814161636,0.7241379310344827,0.5532299211303784,0.35748246863064537,-0.12146664542973953
43,0.47585930536129145,0.7543859649122806,0.576338940392299,0.36354897967863503,-0.1275331564777292
44,0.4841347700615943,0.7857142857142855,0.6002732817707166,0.36987130376532584,-0.13385548056442
45,0.4927620264629412,0.8181818181818179,0.6250779628356222,0.37646239114514357,-0.14044656794423774
46,0.5017592323584066,0.8518518518518517,0.6508013357918209,0.38333611408468266,-0.14732029088377682
47,0.5111458677234497,0.8867924528301887,0.6774954020671212,0.3905073549769584,-0.15449153177605254
48,0.5209428634056654,0.9230769230769229,0.7052161631991637,0.39799210465834023,-0.1619762814574344
49,0.5311727449965339,0.9607843137254901,0.7340240130030512,0.4058075723242921,-0.16979174912338627
50,0.5418597940044025,1.0,0.7639841767990941,0.4139723086629802,-0.17795648546207435
51,0.5530302287935026,1.040816326530612,0.7951672044235468,0.4225063440898188,-0.18649052088891296
52,0.5647124081641399,1.0833333333333335,0.8276495248656854,0.43143134427951446,-0.19541552107860863
53,0.5769370609385014,1.127659574468085,0.8615140717096168,0.4407707855659898,-0.20475496236508398
54,0.5897375455013584,1.173913043478261,0.8968509901554584,0.4505501532273736,-0.21453433002646774
55,0.60315014394712,1.2222222222222223,0.933758438310004,0.4607971662096956,-0.22478134300878974
56,0.6172143963303329,1.272727272727273,0.9723434977443017,0.47154203248897925,-0.2355262092880734
57,0.6319734815396417,1.3255813953488373,1.012723211105776,0.4828177400529207,-0.24680191685201489
58,0.6474746525572626,1.380952380952381,1.0550257679606538,0.4946603894322397,-0.2586445662313339
59,0.663769735380752,1.4390243902439024,1.0993918641743061,0.5071095748690164,-0.27109375166811056
60,0.6809157027396567,1.5,1.1459762651986412,0.5202088226271333,-0.28419299942622744
61,0.6989753360234067,1.564102564102564,1.19494960986525,0.5340060966947126,-0.2979902734938067
62,0.7180179916617662,1.6315789473684208,1.2465004989879955,0.5485543842866533,-0.3125385610857474
63,0.7381204917112234,1.7027027027027024,1.3008379226579168,0.5639123762385416,-0.32789655303763576
64,0.7593681627907717,1.777777777777778,1.3581940920872786,0.5801452607371482,-0.34412943753624237
65,0.7818560530294667,1.8571428571428572,1.4188277569126035,0.597325653049106,-0.36130982984820015
66,0.8056903636680943,1.9411764705882355,1.483028107904124,0.6155346892419318,-0.3795188660410259
67,0.8309901408406697,2.0303030303030307,1.5511193892587671,0.6348633186783224,-0.3988474954774165
68,0.8578892844436071,2.1250000000000004,1.6234663756980754,0.6554138387604131,-0.4193980155595073
69,0.886538945686547,2.225806451612904,1.7004809096495972,0.6773017266206734,-0.4412859034197676
70,0.9171104040113441,2.333333333333334,1.7826297458645535,0.7006578370424914,-0.46464201384158554
71,0.9497985390829629,2.448275862068965,1.8704440190598506,0.7256310550062797,-0.4896152318053738
